type,route,lang,file,line_start,line_end,text
meta:viewport,(all),en,index.html,6,6,"width=device-width, initial-scale=1.0"
document.title,(all),vi,index.html,7,7,Đấu Tranh Giai Cấp & Tương Lai Lịch Sử Nhân Loại
html:text,(global),vi,index.html,7,7,Đấu Tranh Giai Cấp & Tương Lai Lịch Sử Nhân Loại
attr:aria-label,(global),en,src/components/Button.jsx,38,38,Go to top
string:literal,(global),en,src/components/Button.jsx,38,38,Go to top
string:literal,(global),en,src/components/ChatBot.jsx,32,32,AI Philosophy Assistant
string:literal,(global),vi,src/components/ChatBot.jsx,32,32,Trợ lý Triết học AI
string:literal,(global),vi,src/components/ChatBot.jsx,33,33,Xóa
string:literal,(global),vi,src/components/ChatBot.jsx,34,34,"Hỏi tôi về triết học, đấu tranh giai cấp..."
string:literal,(global),en,src/components/ChatBot.jsx,35,35,Open philosophy chatbot
string:literal,(global),vi,src/components/ChatBot.jsx,35,35,Mở chatbot triết học
string:literal,(global),en,src/components/ChatBot.jsx,36,36,Close chatbot
string:literal,(global),vi,src/components/ChatBot.jsx,36,36,Đóng chatbot
string:literal,(global),en,src/components/ChatBot.jsx,37,37,Suggested questions:
string:literal,(global),vi,src/components/ChatBot.jsx,37,37,Câu hỏi gợi ý:
string:literal,(global),en,src/components/ChatBot.jsx,38,38,Sending question to AI...
string:literal,(global),vi,src/components/ChatBot.jsx,38,38,Đang gửi câu hỏi tới AI...
string:literal,(global),en,src/components/ChatBot.jsx,40,40,AI online
string:literal,(global),vi,src/components/ChatBot.jsx,40,40,AI đang hoạt động
string:literal,(global),en,src/components/ChatBot.jsx,41,41,Basic mode
string:literal,(global),vi,src/components/ChatBot.jsx,41,41,Chế độ cơ bản
string:literal,(global),en,src/components/ChatBot.jsx,42,42,Rate limited
string:literal,(global),vi,src/components/ChatBot.jsx,42,42,Đang bị giới hạn lưu lượng
string:literal,(global),en,src/components/ChatBot.jsx,43,43,Testing...
string:literal,(global),vi,src/components/ChatBot.jsx,43,43,Đang kiểm tra...
string:literal,(global),en,src/components/ChatBot.jsx,76,76,"You are a knowledgeable philosophy assistant (comparative East-West, classical-modern, Marxist). Respond in clear, concise ENGLISH."
string:literal,(global),vi,src/components/ChatBot.jsx,77,77,"Bạn là trợ lý triết học am hiểu phân tích so sánh (Đông-Tây, cổ điển-hiện đại, Mác-xít). Trả lời bằng TIẾNG VIỆT rõ ràng, súc tích."
string:literal,(global),vi,src/components/ChatBot.jsx,110,110,[AI] dùng cache hit cho câu hỏi:
string:literal,(global),vi,src/components/ChatBot.jsx,116,116,"Xin lỗi, tôi chỉ có thể trả lời các câu hỏi liên quan đến triết học. Hãy hỏi tôi về triết học phương Đông (Khổng Tử, Lão Tử, Phật giáo), triết học phương Tây (Socrates, Kant, Nietzsche), triết học Mác-Lênin, hoặc các chủ đề như đạo đức, tồn tại, chân lý, ý nghĩa cuộc sống!"
string:literal,(global),vi,src/components/ChatBot.jsx,120,120,xin chào
string:literal,(global),vi,src/components/ChatBot.jsx,120,120,chào
string:literal,(global),vi,src/components/ChatBot.jsx,122,122,"Xin chào! Tôi là trợ lý AI chuyên về triết học. Tôi có thể thảo luận về triết học phương Đông, phương Tây, Mác-Lênin và nhiều trường phái khác. Bạn có câu hỏi gì muốn thảo luận không?"
string:literal,(global),vi,src/components/ChatBot.jsx,125,125,bạn là ai
string:literal,(global),vi,src/components/ChatBot.jsx,125,125,giới thiệu
string:literal,(global),vi,src/components/ChatBot.jsx,126,126,"Tôi là trợ lý AI chuyên về triết học với kiến thức về nhiều trường phái: triết học cổ điển Hy Lạp, triết học phương Đông (Khổng Tử, Lão Tử, Phật giáo), triết học phương Tây hiện đại, và triết học Mác-Lênin. Hãy đặt câu hỏi về bất kỳ chủ đề triết học nào bạn quan tâm!"
string:literal,(global),vi,src/components/ChatBot.jsx,129,129,cảm ơn
string:literal,(global),vi,src/components/ChatBot.jsx,130,130,"Rất vui được giúp đỡ bạn! Nếu bạn có thêm câu hỏi nào về triết học, đừng ngần ngại hỏi tôi nhé. Tôi luôn sẵn sàng thảo luận về các chủ đề triết học thú vị!"
